fifa_player_id,fotmob_player_id,season_name,fotmob_tournament_id,appearances,goals,assists,fotmob_rating,minutes_played,chances_created,big_chances_created,dribbles,successful_dribbles_pct,duels_won,duels_won_pct,touches,touches_opp_box,defensive_contributions,tackles,fouls_committed,xg_against_on_pitch,yellow_cards,red_cards
388475,619506,2026,24254,2.0,0.0,0.0,6.92,170.0,3.0,0.0,4.0,25.0,13.0,44.8,83.0,8.0,4.0,1.0,2.0,2.53,0,0
403236,848314,2026,24254,1.0,0.0,0.0,6.06,45.0,1.0,0.0,1.0,0.0,3.0,33.3,20.0,2.0,1.0,1.0,2.0,,0,0
416989,505960,2026,24254,1.0,0.0,0.0,6.42,37.0,0.0,0.0,0.0,,2.0,50.0,17.0,1.0,3.0,1.0,1.0,,0,0
390534,500637,2026,24254,1.0,0.0,0.0,7.24,90.0,1.0,1.0,0.0,,2.0,66.7,34.0,3.0,13.0,1.0,0.0,1.79,0,0
411644,532220,2026,24254,2.0,0.0,0.0,7.0,144.0,1.0,0.0,1.0,0.0,8.0,61.5,76.0,2.0,16.0,6.0,1.0,2.11,0,0
390535,621519,2026,24254,1.0,0.0,0.0,6.42,24.0,0.0,0.0,0.0,,2.0,50.0,26.0,0.0,3.0,2.0,0.0,,0,0
481181,1350138,2026,24254,1.0,0.0,0.0,6.49,45.0,1.0,0.0,1.0,0.0,1.0,33.3,27.0,1.0,3.0,0.0,0.0,0.5,0,0
405639,1031319,2026,24254,1.0,0.0,0.0,6.18,15.0,1.0,0.0,1.0,0.0,2.0,33.3,22.0,2.0,2.0,2.0,0.0,,0,0
489603,872575,2026,24254,2.0,0.0,0.0,6.5,180.0,2.0,0.0,0.0,,4.0,44.4,114.0,3.0,20.0,0.0,1.0,3.03,0,0
481180,641121,2026,24254,1.0,0.0,0.0,6.6,64.0,0.0,0.0,0.0,,12.0,63.2,40.0,4.0,5.0,3.0,1.0,,0,0
384797,505959,2026,24254,2.0,1.0,1.0,7.66,180.0,5.0,1.0,1.0,100.0,8.0,80.0,105.0,1.0,5.0,3.0,0.0,3.03,0,0
389876,658554,2026,24254,1.0,0.0,0.0,8.22,90.0,1.0,0.0,0.0,,8.0,66.7,95.0,0.0,11.0,6.0,1.0,0.53,0,0
430707,705450,2026,24254,1.0,0.0,0.0,7.42,90.0,1.0,1.0,0.0,,5.0,50.0,80.0,2.0,8.0,4.0,1.0,0.53,0,0
398680,692984,2026,24254,1.0,0.0,0.0,7.06,80.0,0.0,0.0,0.0,,2.0,100.0,40.0,0.0,1.0,1.0,0.0,0.43,0,0
405893,914458,2026,24254,1.0,0.0,0.0,7.52,90.0,0.0,0.0,0.0,,6.0,85.7,78.0,1.0,5.0,3.0,0.0,0.53,0,0
389867,701154,2026,24254,1.0,2.0,0.0,9.02,90.0,0.0,0.0,6.0,16.7,2.0,22.2,37.0,7.0,0.0,0.0,2.0,0.53,0,0
485655,1029063,2026,24254,1.0,0.0,1.0,8.33,90.0,4.0,2.0,2.0,100.0,6.0,66.7,76.0,2.0,2.0,2.0,0.0,0.53,0,0
484860,1297165,2026,24254,1.0,1.0,0.0,7.37,10.0,0.0,0.0,2.0,50.0,2.0,66.7,12.0,2.0,0.0,0.0,0.0,0.1,0,0
402047,352879,2026,24254,1.0,0.0,1.0,7.69,90.0,2.0,1.0,0.0,,2.0,50.0,57.0,1.0,1.0,0.0,1.0,0.53,0,0
448332,466439,2026,24254,1.0,0.0,0.0,6.21,90.0,0.0,0.0,0.0,,1.0,100.0,50.0,0.0,0.0,0.0,0.0,0.17,0,0
419177,955406,2026,24254,1.0,0.0,0.0,7.01,90.0,0.0,0.0,0.0,,1.0,100.0,78.0,0.0,5.0,0.0,0.0,0.53,0,0
408042,724371,2026,24254,1.0,0.0,0.0,6.94,90.0,0.0,0.0,2.0,0.0,4.0,44.4,59.0,1.0,5.0,2.0,0.0,0.53,0,0
464114,1339208,2026,24254,1.0,0.0,0.0,7.39,87.0,1.0,0.0,3.0,33.3,4.0,36.4,53.0,3.0,3.0,1.0,0.0,0.43,0,0
431861,1104053,2026,24254,1.0,0.0,0.0,,3.0,0.0,0.0,0.0,,1.0,100.0,9.0,0.0,0.0,0.0,0.0,,0,0
479553,1092563,2026,24254,1.0,0.0,0.0,5.72,73.0,0.0,0.0,1.0,0.0,1.0,33.3,28.0,1.0,3.0,0.0,1.0,1.82,0,0
434025,1420369,2026,24254,1.0,0.0,0.0,3.63,90.0,0.0,0.0,0.0,,3.0,37.5,49.0,1.0,5.0,0.0,3.0,2.52,1,0
481183,1606279,2026,24254,1.0,0.0,0.0,5.5,90.0,0.0,0.0,3.0,100.0,6.0,60.0,66.0,2.0,7.0,0.0,0.0,2.52,0,0
433585,942834,2026,24254,1.0,0.0,0.0,6.65,78.0,1.0,0.0,4.0,25.0,6.0,50.0,34.0,1.0,3.0,1.0,0.0,2.17,0,0
436628,1113688,2026,24254,1.0,0.0,0.0,6.88,59.0,1.0,1.0,1.0,100.0,3.0,50.0,25.0,3.0,3.0,2.0,1.0,1.82,0,0
