fantasy_player_id,round_id,tournament_id,points,starting_xi,minutes_played,goals_scored,assists,clean_sheet,goals_conceded,yellow_cards,red_cards,own_goals,penalty_won,penalty_conceded,penalty_saved,saves,tackles,chances_created,shots_on_target,free_kicks,scouting_bonus
141,1,3,2,0,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
141,2,26,-3,0,80,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
142,1,3,1,0,90,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0
142,2,26,-1,0,90,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0
146,1,3,1,0,90,0,0,0,1,1,0,0,0,0,0,0,3,0,1,0,0
146,2,26,2,0,86,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
147,2,26,1,0,64,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
148,1,3,9,0,62,1,0,1,0,1,0,0,0,0,0,0,1,0,2,0,1
148,2,26,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
150,1,3,2,0,74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2,26,1,0,26,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
151,1,3,1,0,28,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
152,1,3,1,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
152,2,26,2,0,89,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
153,1,3,2,0,90,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
153,2,26,0,0,90,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0
156,1,3,3,0,74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
156,2,26,1,0,90,0,0,0,4,0,0,0,0,1,0,0,2,0,1,0,0
157,1,3,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
158,1,3,1,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
158,2,26,2,0,86,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
159,1,3,1,0,28,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
160,1,3,3,0,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2,26,1,0,27,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
161,1,3,3,0,90,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
161,2,26,3,0,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
162,2,26,4,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
164,1,6,2,0,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
164,2,31,7,0,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
165,1,6,2,0,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
165,2,31,7,0,90,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
166,1,6,0,0,45,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
167,1,6,1,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
