fantasy_player_id,appearances,minutes_played,starting_xi,total_points,total_goals_scored,total_assists,clean_sheets,saves,tackles,chances_created,shots_on_target,scouting_bonus,yellow_cards
476,1,72,0,4,0,0,0,0,0,1,0,0,0
477,1,90,0,2,0,0,0,3,0,0,0,0,0
486,1,90,0,7,0,1,0,0,2,1,0,1,0
488,1,72,0,5,0,1,0,0,0,1,1,0,0
491,1,80,0,9,1,0,0,0,3,0,2,0,0
492,1,90,0,2,0,0,0,0,2,0,0,0,0
494,1,90,0,2,0,0,0,0,6,0,0,0,0
500,1,90,0,14,2,0,0,0,0,0,4,0,0
501,1,80,0,3,0,0,1,0,1,0,0,0,0
505,1,87,0,3,0,0,1,0,0,0,1,0,0
506,1,90,0,2,0,0,0,2,0,0,0,0,0
510,1,90,0,7,0,1,0,0,0,1,0,1,0
515,1,90,0,3,0,0,0,0,3,0,0,0,0
516,1,3,0,1,0,0,0,0,0,0,0,0,0
517,1,90,0,6,0,1,0,0,2,2,2,0,0
520,2,62,0,2,0,0,2,0,1,0,0,0,0
521,1,17,0,1,0,0,1,0,0,0,1,0,0
523,2,163,0,4,0,0,0,0,1,1,0,0,0
525,2,163,0,16,1,1,0,0,8,1,2,1,0
526,2,135,0,12,1,0,0,0,3,0,2,1,0
527,1,7,0,1,0,0,1,0,2,0,0,0,0
528,2,175,0,15,2,0,0,0,0,0,3,0,0
529,2,150,0,4,0,0,0,0,3,0,0,0,0
531,2,56,0,28,3,2,2,0,0,1,4,2,0
540,2,22,0,2,0,0,2,0,1,0,0,0,0
542,2,173,0,10,0,2,0,0,3,4,0,0,0
543,2,180,0,7,0,1,0,0,4,1,1,0,0
565,1,45,0,2,0,0,1,3,0,0,0,0,0
571,2,171,0,3,0,0,0,0,1,0,0,0,1
573,2,180,0,4,0,0,0,0,6,0,0,0,1
574,1,90,0,0,0,0,0,0,2,0,0,0,0
575,2,135,0,0,0,0,0,0,2,0,0,0,1
576,2,180,0,2,0,0,0,0,4,0,0,0,0
577,2,180,0,2,0,0,0,0,2,0,1,0,0
578,2,180,0,2,0,0,0,0,8,0,0,0,0
582,2,121,0,3,0,0,1,0,0,0,1,0,0
584,2,135,0,2,0,0,0,0,0,0,1,0,1
585,1,9,0,1,0,0,1,0,0,0,0,0,0
586,2,89,0,3,0,0,1,0,0,0,0,0,0
588,1,5,0,1,0,0,1,0,0,0,0,0,0
589,2,91,0,3,0,0,1,0,0,0,0,0,0
590,2,156,0,4,0,0,0,0,1,0,1,0,0
591,2,180,0,2,0,0,0,3,0,0,0,0,0
597,2,180,0,22,1,1,1,0,4,1,1,2,0
598,1,90,0,9,0,0,1,0,1,0,1,1,0
599,2,114,0,2,0,0,1,0,3,0,0,0,0
600,2,180,0,10,0,0,1,0,6,0,0,1,0
601,2,91,0,9,0,0,2,0,0,0,0,1,1
603,1,45,0,1,0,0,1,0,0,0,0,0,0
606,2,180,0,10,0,0,1,0,1,0,0,1,0
608,1,45,0,1,0,0,0,0,0,0,1,0,0
610,2,170,0,4,0,0,1,0,1,0,1,0,0
611,1,45,0,1,0,0,1,0,1,0,0,0,0
612,2,144,0,4,0,0,1,0,5,0,0,0,0
614,1,37,0,1,0,0,0,0,1,0,0,0,0
616,2,15,0,2,0,0,2,0,2,0,0,0,0
620,2,180,0,14,0,0,1,13,0,0,0,1,0
625,1,24,0,1,0,0,1,0,2,0,0,0,0
626,2,175,0,5,0,0,1,0,4,0,2,0,1
627,2,156,0,13,1,0,1,0,2,0,1,1,0
629,1,45,0,1,0,0,0,0,1,0,0,0,0
630,1,59,0,2,0,0,0,0,5,0,0,0,0
631,1,31,0,1,0,0,0,0,1,0,0,0,0
635,1,90,0,7,0,1,0,0,0,0,0,1,0
637,1,90,0,-1,0,0,0,0,6,0,0,0,0
641,1,73,0,1,0,0,0,0,0,0,0,0,0
642,1,90,0,-2,0,0,0,0,0,0,0,0,1
644,1,90,0,-1,0,0,0,0,0,0,0,0,0
646,1,90,0,7,1,0,0,0,0,0,1,1,0
647,1,12,0,1,0,0,0,0,0,0,0,0,0
648,1,73,0,2,0,0,0,0,1,0,0,0,0
