referee_id,source,window,matches,yellow_pg,red_pg,penalty_pg,fouls_pg,total_yellows,total_reds,total_penalties,total_fouls,fixtures_with_red,fixtures_with_penalty,fixtures_no_cards,computed_at
istvan-kovacs-ro,footymetrics,last_10,10,4.3,0.2,0.7,28.1,43,2,7,281,2,3,1,2026-06-22T11:10:36
istvan-kovacs-ro,footymetrics,last_15,15,4.533,0.267,0.533,26.067,68,4,8,391,4,4,1,2026-06-22T11:10:36
istvan-kovacs-ro,footymetrics,last_25,15,4.533,0.267,0.533,26.067,68,4,8,391,4,4,1,2026-06-22T11:10:36
gustavo-tejera-uy,footymetrics,last_5,5,4.2,0.0,0.2,17.2,21,0,1,86,0,1,0,2026-06-22T11:10:36
gustavo-tejera-uy,footymetrics,last_10,10,4.0,0.1,0.2,18.9,40,1,2,189,1,2,0,2026-06-22T11:10:36
gustavo-tejera-uy,footymetrics,last_15,15,4.667,0.133,0.333,21.533,70,2,5,323,2,4,0,2026-06-22T11:10:36
gustavo-tejera-uy,footymetrics,last_25,15,4.667,0.133,0.333,21.533,70,2,5,323,2,4,0,2026-06-22T11:10:36
yael-falcón-pérez-ar,footymetrics,last_5,5,4.0,0.0,0.2,21.2,20,0,1,106,0,1,0,2026-06-22T11:10:36
yael-falcón-pérez-ar,footymetrics,last_10,10,4.6,0.2,0.1,23.6,46,2,1,236,2,1,0,2026-06-22T11:10:36
yael-falcón-pérez-ar,footymetrics,last_15,15,4.933,0.133,0.067,24.0,74,2,1,360,2,1,0,2026-06-22T11:10:36
yael-falcón-pérez-ar,footymetrics,last_25,15,4.933,0.133,0.067,24.0,74,2,1,360,2,1,0,2026-06-22T11:10:36
françois-letexier-fr,footymetrics,last_5,5,3.6,0.0,0.4,24.4,18,0,2,122,0,1,0,2026-06-22T11:10:36
françois-letexier-fr,footymetrics,last_10,10,3.5,0.1,0.5,22.5,35,1,5,225,1,4,0,2026-06-22T11:10:36
françois-letexier-fr,footymetrics,last_15,15,3.867,0.067,0.467,21.667,58,1,7,325,1,6,0,2026-06-22T11:10:36
françois-letexier-fr,footymetrics,last_25,15,3.867,0.067,0.467,21.667,58,1,7,325,1,6,0,2026-06-22T11:10:36
maurizio-mariani-it,footymetrics,last_5,5,4.8,0.4,0.2,23.8,24,2,1,119,1,1,0,2026-06-22T11:10:36
maurizio-mariani-it,footymetrics,last_10,10,3.8,0.2,0.1,23.8,38,2,1,238,1,1,0,2026-06-22T11:10:36
maurizio-mariani-it,footymetrics,last_15,15,3.667,0.133,0.2,24.4,55,2,3,366,1,3,0,2026-06-22T11:10:36
maurizio-mariani-it,footymetrics,last_25,15,3.667,0.133,0.2,24.4,55,2,3,366,1,3,0,2026-06-22T11:10:36
ramon-abatti-br,footymetrics,last_5,5,4.0,0.2,0.2,28.4,20,1,1,142,1,1,0,2026-06-22T11:10:36
ramon-abatti-br,footymetrics,last_10,10,3.9,0.1,0.3,29.7,39,1,3,297,1,2,0,2026-06-22T11:10:36
ramon-abatti-br,footymetrics,last_15,15,4.067,0.067,0.267,30.333,61,1,4,455,1,3,0,2026-06-22T11:10:36
ramon-abatti-br,footymetrics,last_25,15,4.067,0.067,0.267,30.333,61,1,4,455,1,3,0,2026-06-22T11:10:36
césar-arturo-ramos-palazuelos-mx,footymetrics,last_5,5,2.6,0.0,0.6,22.0,13,0,3,110,0,2,0,2026-06-22T11:10:36
césar-arturo-ramos-palazuelos-mx,footymetrics,last_10,10,4.1,0.1,0.6,22.2,41,1,6,222,1,4,0,2026-06-22T11:10:36
césar-arturo-ramos-palazuelos-mx,footymetrics,last_15,15,4.8,0.133,0.6,24.133,72,2,9,362,2,7,0,2026-06-22T11:10:36
césar-arturo-ramos-palazuelos-mx,footymetrics,last_25,15,4.8,0.133,0.6,24.133,72,2,9,362,2,7,0,2026-06-22T11:10:36
glenn-nyberg-se,footymetrics,last_5,5,3.4,0.0,0.2,26.4,17,0,1,132,0,1,0,2026-06-22T11:10:36
