match_number,espn_match_id,fifa_match_id,fifa_id_ifes,seed_match_id,kickoff_utc,kickoff_local,date_et,kickoff_et,stage,espn_season_slug,home_nation_id,away_nation_id,fifa_home_team_id,fifa_away_team_id,fifa_home_tactics,fifa_away_tactics,stadium_id,fifa_stadium_id,espn_venue_name,venue_string,status,home_score,away_score,fifa_attendance,fifa_referee_id,fifa_referee_country,fifa_referee_name,espn_status_raw,espn_notes,stadium_capacity,roof_type,surface,local_date,local_hour,temperature_c,apparent_temp_c,humidity_pct,home_confederation,home_group,home_pot,home_fifa_rank,home_squad_valuation_m_eur,home_is_host,home_espn_team_id,home_fotmob_team_id,home_tm_team_id,home_all_names,away_confederation,away_group,away_pot,away_fifa_rank,away_squad_valuation_m_eur,away_is_host,away_espn_team_id,away_fotmob_team_id,away_tm_team_id,away_all_names,referee_referee_id,referee_confederation,referee_flag_iso,referee_nation_id,referee_fm_id,referee_slug,referee_fm_url,volume_moneyline,volume_other
21,760435,400021502,151668,61.0,2026-06-17 17:00:00+00:00,2026-06-17 11:00:00-06:00,2026-06-17,13:00,group_k,group-stage,POR,COD,43963,20014,4-2-3-1,5-3-2,nrg,400249385,NRG Stadium,"NRG Stadium, Houston",finished,1,1,68777,361083,QAT,Abdulrahman AL JASSIM,STATUS_FULL_TIME,,72220,retractable,grass_overlay,2026-06-17,12.0,28.5,33.2,79.0,UEFA,K,1.0,6.0,980.0,False,482,8361.0,3300.0,['Portugal'],CAF,K,3.0,52.0,120.0,False,2850,6321.0,3854.0,"['DR Congo' 'Congo DR' 'dr congo' 'congo dr'
 'democratic republic of congo' 'congo democratic republic']",abdulrahman-ibrahim-al-jassim-qa,AFC,qa,QAT,11321.0,abdulrahman-ibrahim-al-jassim,https://footymetrics.com/referees/11321-abdulrahman-ibrahim-al-jassim,23657186.03579322,18886217.40958811
22,760437,400021507,151673,67.0,2026-06-17 20:00:00+00:00,2026-06-17 14:00:00-06:00,2026-06-17,16:00,group_l,group-stage,ENG,CRO,43942,43938,4-2-3-1,3-4-3,att,400257526,AT&T Stadium,"AT&T Stadium, Arlington",finished,4,2,70389,314589,FRA,Clément Turpin,STATUS_FULL_TIME,,80000,retractable,grass_overlay,2026-06-17,15.0,32.5,35.2,52.0,UEFA,L,1.0,4.0,1300.0,False,448,8491.0,3299.0,['England'],UEFA,L,2.0,10.0,380.0,False,477,10155.0,3556.0,['Croatia'],clément-turpin-fr,UEFA,fr,FRA,64.0,clement-turpin,https://footymetrics.com/referees/64-clement-turpin,26438578.07181638,11829011.587167995
23,760434,400021510,151674,68.0,2026-06-17 23:00:00+00:00,2026-06-17 17:00:00-06:00,2026-06-17,19:00,group_l,group-stage,GHA,PAN,43860,43914,4-1-2-3,3-4-3,bmo,400242032,BMO Field,"BMO Field, Toronto",finished,1,0,42942,392336,SWE,Glenn Nyberg,STATUS_FULL_TIME,,45500,open,grass_overlay,2026-06-17,19.0,18.7,18.1,75.0,CAF,L,3.0,73.0,150.0,False,4469,6714.0,3441.0,['Ghana'],CONCACAF,L,4.0,41.0,35.0,False,2659,5922.0,3577.0,['Panama'],glenn-nyberg-se,UEFA,se,SWE,676.0,glenn-nyberg,https://footymetrics.com/referees/676-glenn-nyberg,20404007.38979727,7687564.213309997
24,760436,400021504,151667,62.0,2026-06-18 02:00:00+00:00,2026-06-17 20:00:00-06:00,2026-06-17,22:00,group_k,group-stage,UZB,COL,44005,43926,3-4-3,4-1-2-3,azteca,400222084,Estadio Banorte,"Estadio Azteca, Mexico City",finished,1,3,80824,360460,ENG,Anthony Taylor,STATUS_FULL_TIME,,87523,open,grass,2026-06-17,20.0,17.9,19.3,82.0,AFC,K,4.0,57.0,55.0,False,2570,8700.0,3563.0,['Uzbekistan'],CONMEBOL,K,2.0,13.0,400.0,False,208,8258.0,3816.0,['Colombia'],anthony-taylor-gb,UEFA,gb,ENG,158.0,anthony-taylor,https://footymetrics.com/referees/158-anthony-taylor,23171176.316426028,11342356.32169397
25,760438,400021440,151610,3.0,2026-06-18 16:00:00+00:00,2026-06-18 10:00:00-06:00,2026-06-18,12:00,group_a,group-stage,CZE,RSA,43995,43883,3-5-2,4-3-3,mercedes,400098290,Mercedes-Benz Stadium,"Mercedes-Benz Stadium, Atlanta",finished,1,1,67442,428431,USA,Tori Penso,STATUS_FULL_TIME,,71000,retractable,grass_overlay,2026-06-18,12.0,27.7,31.5,76.0,UEFA,A,3.0,42.0,220.0,False,450,8496.0,3445.0,['Czechia' 'Czech Republic' 'czechia' 'czech republic'],CAF,A,4.0,58.0,65.0,False,467,6316.0,3806.0,['South Africa' 'south africa'],tori-penso-us,CONCACAF,us,USA,5631.0,tori-penso,https://footymetrics.com/referees/5631-tori-penso,33327516.799985517,9174887.129635982
26,760439,400021446,151616,9.0,2026-06-18 19:00:00+00:00,2026-06-18 13:00:00-06:00,2026-06-18,15:00,group_b,group-stage,SUI,BIH,43971,44037,4-3-3,4-4-2,sofi,400017978,SoFi Stadium,"SoFi Stadium, Inglewood",finished,4,1,70026,392268,POR,João Pedro Silva Pinheiro,STATUS_FULL_TIME,,70240,fixed,grass,2026-06-18,12.0,21.4,21.3,60.0,UEFA,B,2.0,19.0,270.0,False,475,6717.0,3384.0,['Switzerland'],UEFA,B,3.0,55.0,130.0,False,452,10106.0,3446.0,"['Bosnia & Herzegovina' 'Bosnia-Herzegovina' 'Bosnia and Herzegovina'
 'bosnia herzegovina' 'bosnia and herzegovina' 'bosnia & herzegovina']",joão-pedro-silva-pinheiro-pt,UEFA,pt,POR,25.0,joao-pedro-silva-pinheiro,https://footymetrics.com/referees/25-joao-pedro-silva-pinheiro,0.0,9572688.374092992
27,760440,400021450,151615,10.0,2026-06-18 22:00:00+00:00,2026-06-18 16:00:00-06:00,2026-06-18,18:00,group_b,group-stage,CAN,QAT,43899,43834,4-4-2,4-3-3,bcplace,400248370,BC Place,"BC Place, Vancouver",finished,6,0,52497,416177,CHI,Cristián Marcelo Garay Reyes,STATUS_FULL_TIME,,54500,retractable,grass_overlay,2026-06-18,15.0,20.2,19.7,56.0,CONCACAF,B,1.0,31.0,230.0,True,206,5810.0,3510.0,['Canada'],AFC,B,4.0,35.0,60.0,False,4398,5902.0,14162.0,['Qatar'],,,,,,,,20462735.36266301,20336985.524423033
28,760441,400021442,151609,4.0,2026-06-19 01:00:00+00:00,2026-06-18 19:00:00-06:00,2026-06-18,21:00,group_a,group-stage,MEX,KOR,43911,43822,4-1-2-3,3-4-3,akron,400252150,Estadio Akron,"Estadio Akron, Zapopan",finished,1,0,45522,408669,URU,Gustavo Tejera,STATUS_FULL_TIME,,49850,open,grass,2026-06-18,19.0,20.9,22.0,80.0,CONCACAF,A,1.0,14.0,240.0,True,203,6710.0,6303.0,['Mexico'],AFC,A,2.0,23.0,250.0,False,451,7804.0,3589.0,"['South Korea' 'south korea' 'korea republic' 'republic of korea'
 'korea south']",gustavo-tejera-uy,CONMEBOL,uy,URU,5424.0,gustavo-tejera,https://footymetrics.com/referees/5424-gustavo-tejera,27812230.6357736,16365853.608529005
29,760442,400021462,151627,21.0,2026-06-19 19:00:00+00:00,2026-06-19 13:00:00-06:00,2026-06-19,15:00,group_d,group-stage,USA,AUS,43921,43976,3-5-2,5-4-1,lumen,400216606,Lumen Field,"Lumen Field, Seattle",finished,2,0,66925,348147,GER,Felix Zwayer,STATUS_FULL_TIME,,68740,open,grass_overlay,2026-06-19,12.0,23.1,23.0,45.0,CONCACAF,D,1.0,16.0,320.0,True,660,6713.0,3505.0,['United States' 'USA' 'united states' 'usa' 'united states of america'],AFC,D,3.0,24.0,90.0,False,628,6716.0,3433.0,['Australia'],felix-zwayer-de,UEFA,de,GER,678.0,felix-zwayer,https://footymetrics.com/referees/678-felix-zwayer,21916436.52003016,14477559.780255945
30,760445,400021454,151621,15.0,2026-06-19 22:00:00+00:00,2026-06-19 16:00:00-06:00,2026-06-19,18:00,group_c,group-stage,SCO,MAR,43967,43872,4-4-2,4-2-3-1,gillette,400248623,Gillette Stadium,"Gillette Stadium, Foxborough",finished,0,1,64146,360687,UZB,Ilgiz Tantashev,STATUS_FULL_TIME,,65878,open,grass_overlay,2026-06-19,18.0,24.2,21.8,45.0,UEFA,C,3.0,44.0,200.0,False,580,8498.0,3380.0,['Scotland'],CAF,C,2.0,12.0,360.0,False,2869,6262.0,3575.0,['Morocco'],ilgiz-tantashev-uz,AFC,uz,UZB,8634.0,ilgiz-tantashev,https://footymetrics.com/referees/8634-ilgiz-tantashev,21588116.501496114,9251895.304343991
