match_number,espn_match_id,fifa_match_id,fifa_id_ifes,seed_match_id,kickoff_utc,kickoff_local,date_et,kickoff_et,stage,espn_season_slug,home_nation_id,away_nation_id,fifa_home_team_id,fifa_away_team_id,fifa_home_tactics,fifa_away_tactics,stadium_id,fifa_stadium_id,espn_venue_name,venue_string,status,home_score,away_score,fifa_attendance,fifa_referee_id,fifa_referee_country,fifa_referee_name,espn_status_raw,espn_notes
26,760439,400021446,151616,9.0,2026-06-18 19:00:00+00:00,2026-06-18 12:00:00-07:00,2026-06-18,15:00,group_b,group-stage,SUI,BIH,43971,44037,4-3-3,4-4-2,sofi,400017978,SoFi Stadium,"SoFi Stadium, Inglewood",finished,4,1,70026,392268,POR,João Pedro Silva Pinheiro,STATUS_FULL_TIME,
27,760440,400021450,151615,10.0,2026-06-18 22:00:00+00:00,2026-06-18 15:00:00-07:00,2026-06-18,18:00,group_b,group-stage,CAN,QAT,43899,43834,4-4-2,4-3-3,bcplace,400248370,BC Place,"BC Place, Vancouver",finished,6,0,52497,416177,CHI,Cristián Marcelo Garay Reyes,STATUS_FULL_TIME,
28,760441,400021442,151609,4.0,2026-06-19 01:00:00+00:00,2026-06-18 19:00:00-06:00,2026-06-18,21:00,group_a,group-stage,MEX,KOR,43911,43822,4-1-2-3,3-4-3,akron,400252150,Estadio Akron,"Estadio Akron, Zapopan",finished,1,0,45522,408669,URU,Gustavo Tejera,STATUS_FULL_TIME,
29,760442,400021462,151627,21.0,2026-06-19 19:00:00+00:00,2026-06-19 12:00:00-07:00,2026-06-19,15:00,group_d,group-stage,USA,AUS,43921,43976,3-5-2,5-4-1,lumen,400216606,Lumen Field,"Lumen Field, Seattle",finished,2,0,66925,348147,GER,Felix Zwayer,STATUS_FULL_TIME,
30,760445,400021454,151621,15.0,2026-06-19 22:00:00+00:00,2026-06-19 18:00:00-04:00,2026-06-19,18:00,group_c,group-stage,SCO,MAR,43967,43872,4-4-2,4-2-3-1,gillette,400248623,Gillette Stadium,"Gillette Stadium, Foxborough",finished,0,1,64146,360687,UZB,Ilgiz Tantashev,STATUS_FULL_TIME,
31,760444,400021457,151622,16.0,2026-06-20 00:30:00+00:00,2026-06-19 20:30:00-04:00,2026-06-19,21:00,group_c,group-stage,BRA,HAI,43924,43908,4-3-3,5-4-1,lincoln,400248622,Lincoln Financial Field,"Lincoln Financial Field, Philadelphia",finished,3,0,68324,373845,ESP,Alejandro José Hernández Hernández,STATUS_FULL_TIME,
32,760443,400021460,151628,22.0,2026-06-20 03:00:00+00:00,2026-06-19 20:00:00-07:00,2026-06-19,00:00,group_d,group-stage,TUR,PAR,43972,43928,4-2-3-1,4-2-3-1,levis,400257521,Levi's Stadium,"Levi's Stadium, Santa Clara",finished,0,1,68827,408378,SLV,Ivan Arcides Barton Cisneros,STATUS_FULL_TIME,
33,760447,400021472,151640,33.0,2026-06-20 17:00:00+00:00,2026-06-20 12:00:00-05:00,2026-06-20,13:00,group_f,group-stage,NED,SWE,43960,43970,4-3-3,3-5-2,nrg,400249385,NRG Stadium,"NRG Stadium, Houston",finished,5,1,68777,347710,ENG,Michael Oliver,STATUS_FULL_TIME,
34,760448,400021469,151634,27.0,2026-06-20 20:00:00+00:00,2026-06-20 16:00:00-04:00,2026-06-20,16:00,group_e,group-stage,GER,CIV,43948,43854,4-2-3-1,4-1-2-3,bmo,400242032,BMO Field,"BMO Field, Toronto",finished,2,1,43036,416159,PAR,Juan Gabriel Benítez,STATUS_FULL_TIME,
35,760446,400021465,151633,28.0,2026-06-21 00:00:00+00:00,2026-06-20 19:00:00-05:00,2026-06-20,20:00,group_e,group-stage,ECU,CUW,43927,1895293,3-5-2,5-3-2,arrowhead,400254717,GEHA Field at Arrowhead Stadium,"Arrowhead Stadium, Kansas City",finished,0,0,68598,328495,CHN,Ning Ma,STATUS_FULL_TIME,
36,760449,400021475,151639,34.0,2026-06-21 04:00:00+00:00,2026-06-20 22:00:00-06:00,2026-06-21,00:00,group_f,group-stage,TUN,JPN,43888,43819,5-3-2,3-4-3,bbva,400238450,Estadio BBVA,"Estadio BBVA, Monterrey",finished,0,4,51243,314605,ROU,Istvan Kovacs,STATUS_FULL_TIME,
37,760453,400021483,151651,45.0,2026-06-21 16:00:00+00:00,2026-06-21 12:00:00-04:00,2026-06-21,12:00,group_h,group-stage,ESP,KSA,43969,43835,4-1-2-3,5-4-1,mercedes,400098290,Mercedes-Benz Stadium,"Mercedes-Benz Stadium, Atlanta",finished,4,0,68239,383222,BRA,Raphael Claus,STATUS_FULL_TIME,
38,760451,400021477,151646,39.0,2026-06-21 19:00:00+00:00,2026-06-21 12:00:00-07:00,2026-06-21,15:00,group_g,group-stage,BEL,IRN,43935,43817,4-2-3-1,5-2-3,sofi,400017978,SoFi Stadium,"SoFi Stadium, Inglewood",finished,0,0,70317,383174,ARG,Darío Herrera,STATUS_FULL_TIME,
39,760450,400021487,151652,46.0,2026-06-21 22:00:00+00:00,2026-06-21 18:00:00-04:00,2026-06-21,18:00,group_h,group-stage,URU,CPV,43930,43850,4-1-2-3,4-1-2-3,hardrock,400257525,Hard Rock Stadium,"Hard Rock Stadium, Miami Gardens",finished,2,2,64003,400227,NOR,Espen Eskås,STATUS_FULL_TIME,
40,760452,400021480,151645,40.0,2026-06-22 01:00:00+00:00,2026-06-21 18:00:00-07:00,2026-06-21,21:00,group_g,group-stage,NZL,EGY,43978,43855,4-4-2,4-2-3-1,bcplace,400248370,BC Place,"BC Place, Vancouver",finished,1,3,52497,383421,UAE,Omar Mohamed Al Ali,STATUS_FULL_TIME,
41,760456,400021494,151664,57.0,2026-06-22 17:00:00+00:00,2026-06-22 12:00:00-05:00,2026-06-22,13:00,group_j,group-stage,ARG,AUT,43922,43934,4-1-3-2,4-2-3-1,att,400257526,AT&T Stadium,"AT&T Stadium, Arlington",finished,2,0,70649,392013,EGY,Amin Mohamed Omar,STATUS_FULL_TIME,
42,760457,400021492,151657,51.0,2026-06-22 21:00:00+00:00,2026-06-22 17:00:00-04:00,2026-06-22,17:00,group_i,group-stage,FRA,IRQ,43946,43818,4-2-3-1,4-2-3-1,lincoln,400248622,Lincoln Financial Field,"Lincoln Financial Field, Philadelphia",finished,3,0,,372930,CAN,Drew Fischer,STATUS_FULL_TIME,
43,760454,400021491,151658,52.0,2026-06-23 00:00:00+00:00,2026-06-22 20:00:00-04:00,2026-06-22,20:00,group_i,group-stage,NOR,SEN,43961,43879,4-1-2-3,4-3-3,metlife,400257536,MetLife Stadium,"MetLife Stadium, East Rutherford",finished,3,2,80663,361561,BRA,Wilton SAMPAIO,STATUS_FULL_TIME,
44,760455,400021499,151663,58.0,2026-06-23 03:00:00+00:00,2026-06-22 20:00:00-07:00,2026-06-22,23:00,group_j,group-stage,JOR,ALG,43820,43843,3-4-3,4-2-1-3,levis,400257521,Levi's Stadium,"Levi's Stadium, Santa Clara",live,1,0,,315008,SVN,Slavko VINCIC,STATUS_SECOND_HALF,
45,760461,400021503,151670,63.0,2026-06-23 17:00:00+00:00,2026-06-23 12:00:00-05:00,2026-06-23,13:00,group_k,group-stage,POR,UZB,43963,44005,,,nrg,400249385,NRG Stadium,"NRG Stadium, Houston",scheduled,0,0,,416524,MAR,Jalal Jayed,STATUS_SCHEDULED,
46,760458,400021506,151676,69.0,2026-06-23 20:00:00+00:00,2026-06-23 16:00:00-04:00,2026-06-23,16:00,group_l,group-stage,ENG,GHA,43942,43860,,,gillette,400248623,Gillette Stadium,"Gillette Stadium, Foxborough",scheduled,0,0,,400191,HON,Said MARTINEZ,STATUS_SCHEDULED,
47,760460,400021511,151675,70.0,2026-06-23 23:00:00+00:00,2026-06-23 19:00:00-04:00,2026-06-23,19:00,group_l,group-stage,PAN,CRO,43914,43938,,,bmo,400242032,BMO Field,"BMO Field, Toronto",scheduled,0,0,,408417,GAB,Pierre Ghislain Atcho,STATUS_SCHEDULED,
48,760459,400021501,151669,64.0,2026-06-24 02:00:00+00:00,2026-06-23 20:00:00-06:00,2026-06-23,22:00,group_k,group-stage,COL,COD,43926,20014,,,akron,400252150,Estadio Akron,"Estadio Akron, Zapopan",scheduled,0,0,,415965,ITA,Maurizio Mariani,STATUS_SCHEDULED,
49,760462,400021448,151618,12.0,2026-06-24 19:00:00+00:00,2026-06-24 12:00:00-07:00,2026-06-24,15:00,group_b,group-stage,BIH,QAT,44037,43834,,,lumen,400216606,Lumen Field,"Lumen Field, Seattle",scheduled,0,0,,360305,VEN,Jesús Valenzuela Sáez,STATUS_SCHEDULED,
50,760463,400021451,151617,11.0,2026-06-24 19:00:00+00:00,2026-06-24 12:00:00-07:00,2026-06-24,15:00,group_b,group-stage,SUI,CAN,43971,43899,,,bcplace,400248370,BC Place,"BC Place, Vancouver",scheduled,0,0,,446932,BRA,Ramon ABATTI,STATUS_SCHEDULED,
51,760465,400021455,151624,18.0,2026-06-24 22:00:00+00:00,2026-06-24 18:00:00-04:00,2026-06-24,18:00,group_c,group-stage,SCO,BRA,43967,43924,,,hardrock,400257525,Hard Rock Stadium,"Hard Rock Stadium, Miami Gardens",scheduled,0,0,,374810,MEX,César Arturo Ramos Palazuelos,STATUS_SCHEDULED,
52,760464,400021452,151623,17.0,2026-06-24 22:00:00+00:00,2026-06-24 18:00:00-04:00,2026-06-24,18:00,group_c,group-stage,MAR,HAI,43872,43908,,,mercedes,400098290,Mercedes-Benz Stadium,"Mercedes-Benz Stadium, Atlanta",scheduled,0,0,,327159,NED,Danny Desmond Makkelie,STATUS_SCHEDULED,
53,760467,400021444,151611,5.0,2026-06-25 01:00:00+00:00,2026-06-24 19:00:00-06:00,2026-06-24,21:00,group_a,group-stage,CZE,MEX,43995,43911,,,azteca,400222084,Estadio Banorte,"Estadio Azteca, Mexico City",scheduled,0,0,,434995,ARG,Yael Falcón Pérez,STATUS_SCHEDULED,
54,760466,400021445,151612,6.0,2026-06-25 01:00:00+00:00,2026-06-24 19:00:00-06:00,2026-06-24,21:00,group_a,group-stage,RSA,KOR,43883,43822,,,bbva,400238450,Estadio BBVA,"Estadio BBVA, Monterrey",scheduled,0,0,,416165,ARG,Facundo TELLO,STATUS_SCHEDULED,
55,760468,400021466,151636,30.0,2026-06-25 20:00:00+00:00,2026-06-25 16:00:00-04:00,2026-06-25,16:00,group_e,group-stage,ECU,GER,43927,43948,,,metlife,400257536,MetLife Stadium,"MetLife Stadium, East Rutherford",scheduled,0,0,,,,,STATUS_SCHEDULED,
