fifa_player_id,fifa_team_id,avg_attacking_score,avg_defensive_score,avg_creativity_score,avg_defending_the_goal_score,n_matches_ranked,player_kind
403616,43883,5.4634575843811035,6.350749492645264,6.173243761062622,,2,outfieldPlayer
403642,43879,4.3456525802612305,5.875160217285156,6.7498931884765625,,1,outfieldPlayer
404353,43948,4.6566760540008545,5.005036354064941,6.418229341506958,,2,outfieldPlayer
404645,43961,4.0,6.565247058868408,5.9724955558776855,,1,outfieldPlayer
404885,43995,4.569285869598389,5.212162971496582,5.470708131790161,,2,outfieldPlayer
405175,43854,4.8579185009002686,5.556206226348877,5.212734222412109,,2,outfieldPlayer
405178,43971,4.407697677612305,6.411985874176025,6.743014335632324,,2,outfieldPlayer
405263,43934,5.044406890869141,5.294946193695068,6.282564640045166,,1,outfieldPlayer
405454,43978,7.3099682331085205,4.7606141567230225,7.3173828125,,2,outfieldPlayer
405469,43978,4.879522323608398,5.197529315948486,6.394110441207886,,2,outfieldPlayer
405522,43819,7.058886766433716,6.10183310508728,7.467445611953735,,2,outfieldPlayer
405528,43819,5.498230934143066,5.873208999633789,6.711033821105957,,1,outfieldPlayer
405530,43819,,,,5.788043975830078,2,goalkeeper
405545,43969,4.731586456298828,5.307393550872803,5.5232391357421875,,2,outfieldPlayer
405742,43924,8.451362133026123,4.281505107879639,7.373721361160278,,2,outfieldPlayer
405755,43926,8.080462455749512,6.144530773162842,6.36853551864624,,1,outfieldPlayer
405873,43854,,,,6.483242988586426,2,goalkeeper
405877,43843,4.303111553192139,3.821591377258301,5.11249303817749,,1,outfieldPlayer
405879,43908,4.771023511886597,4.905843496322632,5.49984884262085,,2,outfieldPlayer
405893,43946,4.047618865966797,6.589200019836426,4.726588249206543,,1,outfieldPlayer
405920,43927,5.128998756408691,5.858226776123047,5.88450813293457,,2,outfieldPlayer
406231,43972,4.406419992446899,5.500486612319946,5.661563158035278,,2,outfieldPlayer
406280,43921,5.156593322753906,5.908337354660034,7.280516147613525,,2,outfieldPlayer
406304,43921,4.987578392028809,5.704832077026367,6.89207124710083,,1,outfieldPlayer
407343,43854,4.622812271118164,5.490878343582153,6.639606475830078,,2,outfieldPlayer
407680,1895293,4.969513177871704,3.9577183723449707,6.052231311798096,,2,outfieldPlayer
407993,43835,4.799489974975586,4.807172894477844,5.474069595336914,,2,outfieldPlayer
408042,43946,4.634487628936768,6.510983943939209,5.52293062210083,,1,outfieldPlayer
408950,43855,4.881883382797241,5.725758075714111,6.843154430389404,,2,outfieldPlayer
