fantasy_player_id,fifa_player_id,fantasy_squad_id,first_name,last_name,known_name,position,price,is_active,percent_selected,rounds_selected_json,total_points,avg_points,form,last_round_points,round_points_json,qualification_round_ids_json
994,419300.0,37,Khalid bin Essa bin Mohammed,Al Ghannam,Khalid Al Ghannam,FWD,4.9,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",1,1.0,0.3,1,"{""2"": 1}",[]
995,425804.0,37,Saleh bin Khalid bin Mohammed,Al Shehri,Saleh Al Shehri,FWD,4.9,True,0.1,"{""1"": 0.1, ""2"": 0, ""3"": 0.1}",0,0.0,0.0,0,{},[]
997,494800.0,37,Sultan bin Ahmed bin Mohammed,Mandash,Sultan Mandash,FWD,4.5,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
999,419287.0,37,Nawaf bin Dhahi bin Faisal Al Shuweiti,Al Aqidi,Nawaf Al Aqidi,GK,4.0,True,0.2,"{""1"": 0.2, ""2"": 0.1, ""3"": 0.2}",0,0.0,0.0,0,{},[]
1000,339746.0,37,Ahmed bin Ali bin Hussein,Al Kassar,Ahmed Al Kassar,GK,3.9,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
1001,396885.0,37,Mohammed bin Khalil bin Ibrahim,Al Owais,Mohammed Al Owais,GK,3.5,True,0.5,"{""1"": 0.4, ""2"": 0.3, ""3"": 0.5}",7,3.5,2.3,0,"{""1"": 7, ""2"": 0}",[]
1003,401334.0,38,John,McGinn,John McGinn,MID,6.0,True,2.0,"{""1"": 1.9, ""2"": 2.1, ""3"": 2}",13,6.5,4.3,2,"{""1"": 11, ""2"": 2}",[]
1005,,38,Billy,Gilmour,Billy Gilmour,MID,5.1,False,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
1007,430097.0,38,Ryan,Christie,Ryan Christie,MID,5.6,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",4,2.0,1.3,2,"{""1"": 2, ""2"": 2}",[]
1008,484051.0,38,Kenny,McLean,Kenny McLean,MID,4.8,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",1,0.5,0.3,1,"{""1"": 0, ""2"": 1}",[]
1009,401339.0,38,Andy,Robertson,Andy Robertson,DEF,5.0,True,4.4,"{""1"": 5, ""2"": 4.1, ""3"": 4.4}",10,5.0,3.3,1,"{""1"": 9, ""2"": 1}",[]
1010,401712.0,38,Kieran,Tierney,Kieran Tierney,DEF,4.3,True,0.6,"{""1"": 0.9, ""2"": 0.6, ""3"": 0.6}",2,2.0,0.7,2,"{""2"": 2}",[]
1011,433694.0,38,Nathan,Patterson,Nathan Patterson,DEF,4.0,True,0.3,"{""1"": 0.3, ""2"": 0.3, ""3"": 0.3}",3,1.5,1.0,2,"{""1"": 1, ""2"": 2}",[]
1012,430147.0,38,Jack,Hendry,Jack Hendry,DEF,3.9,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",11,5.5,3.7,2,"{""1"": 9, ""2"": 2}",[]
1013,442430.0,38,John,Souttar,John Souttar,DEF,3.8,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",0,0.0,0.0,0,{},[]
1014,442431.0,38,Scott,McKenna,Scott McKenna,DEF,3.8,True,0.1,"{""1"": 0.2, ""2"": 0.1, ""3"": 0.1}",0,0.0,0.0,0,{},[]
