fifa_match_id,fifa_id_ifes,espn_match_id,match_number,stage,kickoff_utc,home_nation_id,away_nation_id,fifa_player_id,name,nation_id,position,real_position,jersey_num,Assists,AttemptAtGoal,AttemptAtGoalOnTarget,AttemptedBallProgressions,AttemptedSwitchesOfPlay,AvgSpeed,CleanSheets,CompletedBallProgressions,CompletedSwitchesOfPlay,Corners,Crosses,CrossesCompleted,DefensivePressuresApplied,DistanceHighSpeedSprinting,DistanceWalking,DistributionsCompletedUnderPressure,DistributionsUnderPressure,ForcedTurnovers,FoulsAgainst,FoulsFor,FreeKicks,GoalkeeperSaves,Goals,GoalsConceded,GoalsOutsideThePenaltyArea,LinebreaksAttempted,LinebreaksAttemptedCompleted,LinebreaksCompletedUnderPressure,NumberOfInvolvements,NumberOfPossessionSequences,NumberOfShotEndingSequences,OffersToReceiveTotal,Offsides,OwnGoals,Passes,PassesCompleted,Penalties,PenaltiesScored,ReceivedOffersToReceive,ReceptionsBetweenMidfieldAndDefensiveLine,ReceptionsInBehind,ReceptionsUnderNoPressure,ReceptionsUnderPressure,RedCards,SpeedRuns,Sprints,SubstitutionsIn,SubstitutionsOut,TakeOnsCompleted,TimePlayed,TopSpeed,TotalDistance,XG,YellowCards
400021470,151638,760425,10,group_f,2026-06-14 20:00:00+00:00,NED,JPN,506028,Robin ROEFS,NED,Goalkeeper,Goalkeeper,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400021470,151638,760425,10,group_f,2026-06-14 20:00:00+00:00,NED,JPN,511710,Tomoki HAYAKAWA,JPN,Goalkeeper,Goalkeeper,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400021470,151638,760425,10,group_f,2026-06-14 20:00:00+00:00,NED,JPN,520218,Kento SHIOGAI,JPN,Forward,Forward,26.0,0.0,0.0,0.0,0.0,0.0,8.14542007446289,0.0,0.0,0.0,0.0,0.0,0.0,6.0,115.22000885009766,467.1400146484375,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,11.0,1.0,0.0,0.0,12.909033333333326,32.7716064453125,1755.39013671875,0.0,0.0
400021472,151640,760447,33,group_f,2026-06-20 17:00:00+00:00,NED,SWE,336088,Nathan AKE,NED,Defender,Defender,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400021472,151640,760447,33,group_f,2026-06-20 17:00:00+00:00,NED,SWE,336098,Memphis DEPAY,NED,Forward,Forward,10.0,1.0,0.0,0.0,0.0,1.0,7.248165130615234,,0.0,1.0,0.0,0.0,0.0,12.0,55.459999084472656,915.1200561523438,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,12.0,7.0,1.0,13.0,0.0,0.0,5.0,4.0,0.0,0.0,4.0,6.0,0.0,0.0,7.0,0.0,44.0,24.0,1.0,0.0,0.0,23.882233333333346,30.62010383605957,2886.2099609375,0.0,0.0
400021472,151640,760447,33,group_f,2026-06-20 17:00:00+00:00,NED,SWE,360496,Kristoffer NORDFELDT,SWE,Goalkeeper,Goalkeeper,23.0,0.0,0.0,0.0,0.0,0.0,2.8299827575683594,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3960.9501953125,3.0,8.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,20.0,5.0,0.0,63.0,34.0,4.0,4.0,0.0,0.0,37.0,26.0,0.0,0.0,1.0,0.0,0.0,23.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,100.32505,18.621891021728516,4735.56982421875,0.0,0.0
400021472,151640,760447,33,group_f,2026-06-20 17:00:00+00:00,NED,SWE,395283,Victor LINDELOF,SWE,Defender,Defender,3.0,0.0,0.0,0.0,2.0,0.0,5.555612087249756,,2.0,0.0,0.0,0.0,0.0,4.0,30.810001373291016,3977.8798828125,11.0,13.0,2.0,1.0,0.0,1.0,0.0,0.0,,0.0,19.0,18.0,6.0,119.0,46.0,7.0,6.0,0.0,0.0,57.0,56.0,0.0,0.0,4.0,1.0,0.0,49.0,5.0,0.0,91.0,27.0,0.0,0.0,0.0,100.32505,28.64688491821289,9297.0703125,0.0,0.0
400021472,151640,760447,33,group_f,2026-06-20 17:00:00+00:00,NED,SWE,395286,Ken SEMA,SWE,Midfielder,Midfielder,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400021472,151640,760447,33,group_f,2026-06-20 17:00:00+00:00,NED,SWE,397786,Virgil VAN DIJK,NED,Defender,Defender,4.0,0.0,0.0,0.0,2.0,0.0,5.369991302490234,,2.0,0.0,0.0,0.0,0.0,1.0,159.0500030517578,4534.25,18.0,22.0,2.0,1.0,0.0,6.0,0.0,0.0,,0.0,22.0,21.0,7.0,157.0,49.0,4.0,12.0,0.0,0.0,77.0,73.0,0.0,0.0,7.0,1.0,0.0,60.0,9.0,0.0,74.0,30.0,0.0,0.0,0.0,100.32505,32.345027923583984,8985.849609375,0.0,0.0
400021472,151640,760447,33,group_f,2026-06-20 17:00:00+00:00,NED,SWE,402044,Marten DE ROON,NED,Midfielder,Midfielder,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
