nation_id,fifa_team_id,fifa_player_id,name,short_name,jersey_num,birth_date,position,real_position,real_position_side,position_code,real_position_code,preferred_foot,height_cm,weight_kg,fifa_id_country,picture_id,picture_url,active_status,fifa_match_appearances,fifa_goals,fifa_yellow_cards,fifa_red_cards
MEX,43911,372090,Orbelin PINEDA,ORBELÍN,17,1996-03-24T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,169.0,70.0,MEX,EF0F99D9-6838-4B25-8A18ECD9638BD51F,https://digitalhub.fifa.com/transform/ef0f99d9-6838-4b25-8a18-ecd9638bd51f/PINEDA-Orbelin_372090,1,,,,
MEX,43911,461177,Obed VARGAS,O. VARGAS,18,2005-08-05T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,175.0,70.0,MEX,C0990D50-6120-459C-A66ABD91EE7E46BC,https://digitalhub.fifa.com/transform/c0990d50-6120-459c-a66a-bd91ee7e46bc/VARGAS-Obed_461177,1,,,,
MEX,43911,500037,Gilberto MORA,G. MORA,19,2008-10-14T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,175.0,75.0,MEX,028C85E0-509A-43C4-904A58CE2D4F6F24,https://digitalhub.fifa.com/transform/028c85e0-509a-43c4-904a-58ce2d4f6f24/MORA-Gilberto_500037,1,,,,
MEX,43911,500038,Mateo CHAVEZ,M. CHÁVEZ,20,2004-05-12T00:00:00Z,Defender,Defender,Unknown,1,1,,178.0,73.0,MEX,8E8884EE-8964-4FB7-82D88A5D341E79A6,https://digitalhub.fifa.com/transform/8e8884ee-8964-4fb7-82d8-8a5d341e79a6/CHAVEZ-Mateo_500038,1,,,,
MEX,43911,406135,Cesar HUERTA,C. HUERTA,21,2000-12-03T00:00:00Z,Forward,Forward,Unknown,3,3,,171.0,61.0,MEX,C5A00320-ABE6-4D97-9892E4AFAF601FED,https://digitalhub.fifa.com/transform/c5a00320-abe6-4d97-9892-e4afaf601fed/HUERTA-Cesar_406135,1,,,,
MEX,43911,386339,Guillermo MARTINEZ,G. MARTÍNEZ,22,1995-03-15T00:00:00Z,Forward,Forward,Unknown,3,3,,191.0,87.0,MEX,7F04E2D8-1F0B-491E-85515A856979BC97,https://digitalhub.fifa.com/transform/7f04e2d8-1f0b-491e-8551-5a856979bc97/MARTINEZ-Guillermo_386339,1,,,,
MEX,43911,402772,Jesus GALLARDO,J. GALLARDO,23,1994-08-15T00:00:00Z,Defender,Defender,Unknown,1,1,,174.0,71.0,MEX,F1417540-93CB-4B82-9CFE223E877D5923,https://digitalhub.fifa.com/transform/f1417540-93cb-4b82-9cfe-223e877d5923/GALLARDO-Jesus_402772,1,,,,
MEX,43911,448051,Luis CHAVEZ,L. CHÁVEZ,24,1996-01-15T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,178.0,75.0,MEX,A09B97D9-6B02-45D4-AAE8B8ED274E5634,https://digitalhub.fifa.com/transform/a09b97d9-6b02-45d4-aae8-b8ed274e5634/CHAVEZ-Luis_448051,1,,,,
MEX,43911,403585,Roberto ALVARADO,R. ALVARADO,25,1998-09-07T00:00:00Z,Forward,Forward,Unknown,3,3,,176.0,74.0,MEX,B1A8A14A-2A27-4524-A6ED679ACA39D35D,https://digitalhub.fifa.com/transform/b1a8a14a-2a27-4524-a6ed-679aca39d35d/ALVARADO-Roberto_403585,1,,,,
MEX,43911,464533,Brian GUTIERREZ,B. GUTIÉRREZ,26,2003-06-17T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,178.0,68.0,MEX,DBCA9708-0922-4D1D-97CB1AA53696D6BD,https://digitalhub.fifa.com/transform/dbca9708-0922-4d1d-97cb-1aa53696d6bd/GUTIERREZ-Brian_464533,1,,,,
KOR,43822,274281,KIM Seunggyu,SEUNGGYU,1,1990-09-30T00:00:00Z,Goalkeeper,Goalkeeper,Unknown,0,0,,187.0,80.0,KOR,D4C2A3D5-E369-4813-97EB16669F83DD78,https://digitalhub.fifa.com/transform/d4c2a3d5-e369-4813-97eb-16669f83dd78/KIM-Seunggyu_274281,1,,,,
KOR,43822,423874,LEE Hanbeom,HANBEOM,2,2002-06-17T00:00:00Z,Defender,Defender,Unknown,1,1,,188.0,72.0,KOR,5486BD22-B834-4885-ACDEAF11531A61BA,https://digitalhub.fifa.com/transform/5486bd22-b834-4885-acde-af11531a61ba/LEE-Hanbeom_423874,1,,,,
KOR,43822,492315,LEE Gihyuk,GIHYUK,3,2000-07-07T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,184.0,72.0,KOR,D52FF87A-7E84-497A-BB8E3FEB453EA7C6,https://digitalhub.fifa.com/transform/d52ff87a-7e84-497a-bb8e-3feb453ea7c6/LEE-Gihyuk_492315,1,,,,
KOR,43822,395088,KIM Minjae,MINJAE,4,1996-11-15T00:00:00Z,Defender,Defender,Unknown,1,1,,190.0,83.0,KOR,743F3B76-7C6E-484C-8F624F4E22C082AE,https://digitalhub.fifa.com/transform/743f3b76-7c6e-484c-8f62-4f4e22c082ae/KIM-Minjae_395088,1,,,,
KOR,43822,418485,KIM Taehyeon,TAEHYEON,5,2000-09-17T00:00:00Z,Defender,Defender,Unknown,1,1,,186.0,83.0,KOR,34616F93-215C-4A2F-8FCC4F22A8732D64,https://digitalhub.fifa.com/transform/34616f93-215c-4a2f-8fcc-4f22a8732d64/KIM-Taehyeon_418485,1,,,,
KOR,43822,395084,HWANG Inbeom,INBEOM,6,1996-09-20T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,177.0,70.0,KOR,70BE8CE3-BC90-4585-8871A951DABF811E,https://digitalhub.fifa.com/transform/70be8ce3-bc90-4585-8871-a951dabf811e/HWANG-Inbeom_395084,1,,,,
KOR,43822,307849,SON Heungmin,HEUNGMIN,7,1992-07-08T00:00:00Z,Forward,Forward,Unknown,3,3,,183.0,76.0,KOR,F9694BF1-EB42-4D26-9503E988BD32A435,https://digitalhub.fifa.com/transform/f9694bf1-eb42-4d26-9503-e988bd32a435/SON-Heungmin_307849,1,,,,
KOR,43822,402817,PAIK Seungho,SEUNGHO,8,1997-03-17T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,182.0,72.0,KOR,369D8CEA-DBE3-48FB-8A8AE55180BF1FCA,https://digitalhub.fifa.com/transform/369d8cea-dbe3-48fb-8a8a-e55180bf1fca/PAIK-Seungho_402817,1,,,,
KOR,43822,430387,CHO Guesung,GUESUNG,9,1998-01-25T00:00:00Z,Forward,Forward,Unknown,3,3,,188.0,82.0,KOR,6EFA6506-C1F1-4659-82499BC800F32691,https://digitalhub.fifa.com/transform/6efa6506-c1f1-4659-8249-9bc800f32691/CHO-Guesung_430387,1,,,,
KOR,43822,390525,LEE Jaesung,JAESUNG,10,1992-08-10T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,180.0,70.0,KOR,DAA227B2-F837-4FC4-BDC3B5436C92B2E6,https://digitalhub.fifa.com/transform/daa227b2-f837-4fc4-bdc3-b5436c92b2e6/LEE-Jaesung_390525,1,,,,
KOR,43822,395083,HWANG Heechan,HEECHAN,11,1996-01-26T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,177.0,77.0,KOR,8460686D-D2C7-4D3E-98A5F797400470ED,https://digitalhub.fifa.com/transform/8460686d-d2c7-4d3e-98a5-f797400470ed/HWANG-Heechan_395083,1,,,,
KOR,43822,402820,SONG Bumkeun,BUMKEUN,12,1997-10-15T00:00:00Z,Goalkeeper,Goalkeeper,Unknown,0,0,,196.0,90.0,KOR,A45E87B1-92C4-4D33-AC9B1BCA03075996,https://digitalhub.fifa.com/transform/a45e87b1-92c4-4d33-ac9b-1bca03075996/SONG-Bumkeun_402820,1,,,,
KOR,43822,423880,LEE Taeseok,TAESEOK,13,2002-07-28T00:00:00Z,Defender,Defender,Unknown,1,1,,174.0,71.0,KOR,F2A9CE7B-5D5A-4EC7-9DEF79407CCC338B,https://digitalhub.fifa.com/transform/f2a9ce7b-5d5a-4ec7-9def-79407ccc338b/LEE-Taeseok_423880,1,,,,
KOR,43822,522282,CHO Wije,WIJE,14,2001-08-25T00:00:00Z,Defender,Defender,Unknown,1,1,,190.0,80.0,KOR,11BF36A2-F7F4-4078-978F70D1119D8F7F,https://digitalhub.fifa.com/transform/11bf36a2-f7f4-4078-978f-70d1119d8f7f/CHO-Wije_522282,1,,,,
KOR,43822,448580,KIM Moonhwan ,MOONHWAN,15,1995-08-01T00:00:00Z,Defender,Defender,Unknown,1,1,,173.0,64.0,KOR,352F1315-E0C8-46FD-B0F45F56CAC5FF18,https://digitalhub.fifa.com/transform/352f1315-e0c8-46fd-b0f4-5f56cac5ff18/KIM-Moonhwan_448580,1,,,,
KOR,43822,479316,PARK Jinseob,JINSEOB,16,1995-10-23T00:00:00Z,Defender,Defender,Unknown,1,1,,183.0,80.0,KOR,A335E21C-19B8-4406-A3FBE40BC056BD9F,https://digitalhub.fifa.com/transform/a335e21c-19b8-4406-a3fb-e40bc056bd9f/PARK-Jinseob_479316,1,,,,
KOR,43822,464374,BAE Junho,JUNHO,17,2003-08-21T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,180.0,70.0,KOR,58D034CC-0AE7-4CAF-B6D141D12D129DD2,https://digitalhub.fifa.com/transform/58d034cc-0ae7-4caf-b6d1-41d12d129dd2/BAE-Junho_464374,1,,,,
KOR,43822,448586,OH Hyeongyu,HYEONGYU,18,2001-04-12T00:00:00Z,Forward,Forward,Unknown,3,3,,183.0,72.0,KOR,E273B84D-3432-4404-8C337ECAAA2BC214,https://digitalhub.fifa.com/transform/e273b84d-3432-4404-8c33-7ecaaa2bc214/OH-Hyeongyu_448586,1,,,,
KOR,43822,418490,LEE Kangin,KANGIN,19,2001-02-19T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,174.0,72.0,KOR,A54E995B-CAA3-43C4-981FB54ADA7F678D,https://digitalhub.fifa.com/transform/a54e995b-caa3-43c4-981f-b54ada7f678d/LEE-Kangin_418490,1,,,,
KOR,43822,448585,YANG Hyunjun ,HYUNJUN,20,2002-05-25T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,179.0,73.0,KOR,537B866B-290C-4DA9-A0BB5984410D1509,https://digitalhub.fifa.com/transform/537b866b-290c-4da9-a0bb-5984410d1509/YANG-Hyunjun_448585,1,,,,
KOR,43822,397753,JO Hyeonwoo,HYEONWOO,21,1991-09-25T00:00:00Z,Goalkeeper,Goalkeeper,Unknown,0,0,,189.0,75.0,KOR,15BFE432-3E69-4900-B73650EE6FD20CB5,https://digitalhub.fifa.com/transform/15bfe432-3e69-4900-b736-50ee6fd20cb5/JO-Hyeonwoo_397753,1,,,,
KOR,43822,429608,SEOL Youngwoo,YOUNGWOO,22,1998-12-05T00:00:00Z,Defender,Defender,Unknown,1,1,,180.0,72.0,KOR,DB3B1A56-6CF2-42AD-9D02139333D68F38,https://digitalhub.fifa.com/transform/db3b1a56-6cf2-42ad-9d02-139333d68f38/SEOL-Youngwoo_429608,1,,,,
KOR,43822,511828,CASTROP Jens,JENS,23,2003-07-29T00:00:00Z,Defender,Defender,Unknown,1,1,,178.0,71.0,KOR,D758EE8C-58AA-4562-8B5C96612458F567,https://digitalhub.fifa.com/transform/d758ee8c-58aa-4562-8b5c-96612458f567/CASTROP-Jens_511828,1,,,,
KOR,43822,430385,KIM Jingyu,JINGYU,24,1997-02-24T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,177.0,68.0,KOR,B2FD3864-92CD-4846-8BE2880887B9C3AC,https://digitalhub.fifa.com/transform/b2fd3864-92cd-4846-8be2-880887b9c3ac/KIM-Jingyu_430385,1,,,,
KOR,43822,423855,EOM Jisung,JISUNG,25,2002-05-09T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,177.0,70.0,KOR,F45DA0FB-C909-4517-81E89A69347AC43C,https://digitalhub.fifa.com/transform/f45da0fb-c909-4517-81e8-9a69347ac43c/EOM-Jisung_423855,1,,,,
KOR,43822,429600,LEE Donggyeong,DONGGYEONG,26,1997-09-20T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,175.0,68.0,KOR,5BEF6CF8-E976-4AB2-89E16F8A886712F9,https://digitalhub.fifa.com/transform/5bef6cf8-e976-4ab2-89e1-6f8a886712f9/LEE-Donggyeong_429600,1,,,,
CAN,43899,441255,Dayne ST. CLAIR,ST. CLAIR,1,1997-05-09T00:00:00Z,Goalkeeper,Goalkeeper,Unknown,0,0,,191.0,88.0,CAN,0583604E-3974-45F0-AC6CCDF0DEAABE5C,https://digitalhub.fifa.com/transform/0583604e-3974-45f0-ac6c-cdf0deaabe5c/ST-CLAIR-Dayne_441255,1,,,,
CAN,43899,441252,Alistair JOHNSTON,JOHNSTON,2,1998-10-08T00:00:00Z,Defender,Defender,Unknown,1,1,,180.0,77.0,CAN,BD760593-4ED3-405E-B497F508DBC8BBDF,https://digitalhub.fifa.com/transform/bd760593-4ed3-405e-b497-f508dbc8bbdf/JOHNSTON-Alistair_441252,1,,,,
CAN,43899,514070,Alfie JONES,JONES,3,1997-10-07T00:00:00Z,Defender,Defender,Unknown,1,1,,191.0,89.0,CAN,59F64291-F9E7-4D71-82CDE15EB9A91A1C,https://digitalhub.fifa.com/transform/59f64291-f9e7-4d71-82cd-e15eb9a91a1c/JONES-Alfie_514070,1,,,,
CAN,43899,480322,Luc DE FOUGEROLLES,DE FOUGEROLLES,4,2005-10-12T00:00:00Z,Defender,Defender,Unknown,1,1,,183.0,81.0,CAN,5A74297E-1AA4-41FA-A151782F1211D1A0,https://digitalhub.fifa.com/transform/5a74297e-1aa4-41fa-a151-782f1211d1a0/DE-FOUGEROLLES-Luc_480322,1,,,,
CAN,43899,448402,Joel WATERMAN,WATERMAN,5,1996-01-24T00:00:00Z,Defender,Defender,Unknown,1,1,,185.0,73.0,CAN,F5B31EB7-C506-4AD3-B85706C22E1BB263,https://digitalhub.fifa.com/transform/f5b31eb7-c506-4ad3-b857-06c22e1bb263/WATERMAN-Joel_448402,1,,,,
CAN,43899,448390,Mathieu CHOINIERE,CHOINIÈRE,6,1999-02-07T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,173.0,68.0,CAN,D74AED0F-7268-4A91-8DC213A76E2CDF28,https://digitalhub.fifa.com/transform/d74aed0f-7268-4a91-8dc2-13a76e2cdf28/CHOINIERE-Mathieu_448390,1,,,,
CAN,43899,433635,Stephen EUSTAQUIO,EUSTÁQUIO,7,1996-12-21T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,175.0,69.0,CAN,1C0650A1-BBA7-4998-B6B6EBDDEED58058,https://digitalhub.fifa.com/transform/1c0650a1-bba7-4998-b6b6-ebddeed58058/EUSTAQUIO-Stephen_433635,1,,,,
CAN,43899,441258,Ismael KONE,KONÉ,8,2002-06-16T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,188.0,76.0,CAN,51344B42-77DE-4109-A1677723DC1D4DD2,https://digitalhub.fifa.com/transform/51344b42-77de-4109-a167-7723dc1d4dd2/KONE-Ismael_441258,1,,,,
CAN,43899,390670,Cyle LARIN,LARIN,9,1995-04-17T00:00:00Z,Forward,Forward,Unknown,3,3,,188.0,92.0,CAN,21086AEA-3EC5-47B2-A81FF7316489183A,https://digitalhub.fifa.com/transform/21086aea-3ec5-47b2-a81f-f7316489183a/LARIN-Cyle_390670,1,,,,
CAN,43899,441257,Jonathan DAVID,J. DAVID,10,2000-01-14T00:00:00Z,Forward,Forward,Unknown,3,3,,175.0,80.0,CAN,97AD628A-B97D-4657-AC41F2A667C534E6,https://digitalhub.fifa.com/transform/97ad628a-b97d-4657-ac41-f2a667c534e6/DAVID-Jonathan_441257,1,,,,
CAN,43899,441259,Liam MILLAR,MILLAR,11,1999-09-27T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,176.0,74.0,CAN,3F5479A0-7D7D-408F-B9C8B0185E1D8AE4,https://digitalhub.fifa.com/transform/3f5479a0-7d7d-408f-b9c8-b0185e1d8ae4/MILLAR-Liam_441259,1,,,,
CAN,43899,486929,Tani OLUWASEYI,OLUWASEYI,12,2000-05-15T00:00:00Z,Forward,Forward,Unknown,3,3,,187.0,82.0,CAN,C761FB38-4F2B-47A9-9EDE6BEE5F09D6BD,https://digitalhub.fifa.com/transform/c761fb38-4f2b-47a9-9ede-6bee5f09d6bd/OLUWASEYI-Tani_486929,1,,,,
CAN,43899,371958,Derek CORNELIUS,CORNELIUS,13,1997-11-25T00:00:00Z,Defender,Defender,Unknown,1,1,,186.0,87.0,CAN,EFE78874-6CB4-4156-A6CEAF7C6374D11F,https://digitalhub.fifa.com/transform/efe78874-6cb4-4156-a6ce-af7c6374d11f/CORNELIUS-Derek_371958,1,,,,
CAN,43899,448411,Jacob SHAFFELBURG,SHAFFELBURG,14,1999-11-26T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,181.0,73.0,CAN,FD23F2A2-EB9D-4232-97FF03C924D6B24E,https://digitalhub.fifa.com/transform/fd23f2a2-eb9d-4232-97ff-03c924d6b24e/SHAFFELBURG-Jacob_448411,1,,,,
CAN,43899,466585,Moise BOMBITO,BOMBITO,15,2000-03-30T00:00:00Z,Defender,Defender,Unknown,1,1,,190.0,85.0,CAN,2D2BBFFA-0DCF-47C1-B681706566867489,https://digitalhub.fifa.com/transform/2d2bbffa-0dcf-47c1-b681-706566867489/BOMBITO-Moise_466585,1,,,,
CAN,43899,331732,Maxime CREPEAU,CRÉPEAU,16,1994-05-11T00:00:00Z,Goalkeeper,Goalkeeper,Unknown,0,0,,185.0,86.0,CAN,C4570CA7-10A7-44CA-901DFEE1E11E4400,https://digitalhub.fifa.com/transform/c4570ca7-10a7-44ca-901d-fee1e11e4400/CREPEAU-Maxime_331732,1,,,,
CAN,43899,430138,Tajon BUCHANAN,BUCHANAN,17,1999-02-08T00:00:00Z,Forward,Forward,Unknown,3,3,,183.0,74.0,CAN,A607B6F5-FE42-4A89-9E88CB9690E4BCD1,https://digitalhub.fifa.com/transform/a607b6f5-fe42-4a89-9e88-cb9690e4bcd1/BUCHANAN-Tajon_430138,1,,,,
CAN,43899,463817,Owen GOODMAN,GOODMAN,18,2003-11-27T00:00:00Z,Goalkeeper,Goalkeeper,Unknown,0,0,,193.0,92.0,CAN,A226584E-2566-49BE-B8E7B8E73D3AA127,https://digitalhub.fifa.com/transform/a226584e-2566-49be-b8e7-b8e73d3aa127/GOODMAN-Owen_463817,1,,,,
CAN,43899,412144,Alphonso DAVIES,DAVIES,19,2000-11-02T00:00:00Z,Defender,Defender,Unknown,1,1,,183.0,77.0,CAN,4B0A6361-55A2-4BDE-82A48275181091F5,https://digitalhub.fifa.com/transform/4b0a6361-55a2-4bde-82a4-8275181091f5/DAVIES-Alphonso_412144,1,,,,
CAN,43899,466687,Ali AHMED,AHMED,20,2000-10-10T00:00:00Z,Forward,Forward,Unknown,3,3,,180.0,75.0,CAN,123BDAA9-E54B-4B1C-8FD45DAC88DE915E,https://digitalhub.fifa.com/transform/123bdaa9-e54b-4b1c-8fd4-5dac88de915e/AHMED-Ali_466687,1,,,,
CAN,43899,370986,Jonathan OSORIO,OSORIO,21,1992-06-12T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,175.0,70.0,CAN,982A5ED2-0878-4733-B071CD7CC532EE37,https://digitalhub.fifa.com/transform/982a5ed2-0878-4733-b071-cd7cc532ee37/OSORIO-Jonathan_370986,1,,,,
CAN,43899,431696,Richie LARYEA,LARYEA,22,1995-01-07T00:00:00Z,Defender,Defender,Unknown,1,1,,175.0,71.0,CAN,612F188F-BB60-45DB-8932FC7DD2CA13EC,https://digitalhub.fifa.com/transform/612f188f-bb60-45db-8932-fc7dd2ca13ec/LARYEA-Richie_431696,1,,,,
CAN,43899,485064,Niko SIGUR,SIGUR,23,2003-09-09T00:00:00Z,Defender,Defender,Unknown,1,1,,178.0,77.0,CAN,E0C93E53-1609-4A5C-95BEB4EB0C044003,https://digitalhub.fifa.com/transform/e0c93e53-1609-4a5c-95be-b4eb0c044003/SIGUR-Niko_485064,1,,,,
CAN,43899,493970,Promise DAVID,PROMISE,24,2001-07-03T00:00:00Z,Forward,Forward,Unknown,3,3,,195.0,90.0,CAN,5E47F75F-C26F-4A7B-81E57957CC1027EB,https://digitalhub.fifa.com/transform/5e47f75f-c26f-4a7b-81e5-7957cc1027eb/DAVID-Promise_493970,1,,,,
CAN,43899,423941,Nathan SALIBA,SALIBA,25,2004-02-07T00:00:00Z,Midfielder,Midfielder,Unknown,2,2,,174.0,80.0,CAN,1DA64224-0271-489F-BEA32AAA2E4CDF14,https://digitalhub.fifa.com/transform/1da64224-0271-489f-bea3-2aaa2e4cdf14/SALIBA-Nathan_423941,1,,,,
CAN,43899,423933,Jayden Nelson,NELSON,26,2002-09-26T00:00:00Z,Forward,Forward,Unknown,3,3,,170.0,68.0,CAN,11FD224D-E90C-41F4-8497E387C702F00A,https://digitalhub.fifa.com/transform/11fd224d-e90c-41f4-8497-e387c702f00a/NELSON-Jayden_423933,1,,,,
USA,43921,448217,Matt TURNER,TURNER,1,1994-06-24T00:00:00Z,Goalkeeper,Goalkeeper,Unknown,0,0,,190.0,79.0,USA,01FB042F-5DE5-41DF-81047445672FDCA5,https://digitalhub.fifa.com/transform/01fb042f-5de5-41df-8104-7445672fdca5/TURNER-Matt_448217,1,,,,
USA,43921,406280,Sergino DEST,DEST,2,2000-11-03T00:00:00Z,Defender,Defender,Unknown,1,1,,173.0,62.0,USA,5EE00BD8-552E-4E02-B680B16534E53493,https://digitalhub.fifa.com/transform/5ee00bd8-552e-4e02-b680-b16534e53493/DEST-Sergino_406280,1,,,,
USA,43921,419062,Chris RICHARDS,RICHARDS,3,2000-03-28T00:00:00Z,Defender,Defender,Unknown,1,1,,189.0,93.0,USA,54036D3D-1588-4634-944BA7C2D97D0B76,https://digitalhub.fifa.com/transform/54036d3d-1588-4634-944b-a7c2d97d0b76/RICHARDS-Chris_419062,1,,,,
